targetX,cueOri,congr,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.5,180,1,right,0,0,0,1,6.610382599988952,7.6114291999838315,7.527842100011185,8.02786659996491,8.02786659996491,None,right,1,1.17850040004123,8.02786659996491,None,,001,2019_Nov_22_1805,posner,3.2.4,59.776721985867475,
-0.5,0,1,left,0,1,1,0,9.227872500021476,10.228193400020245,10.211254799971357,10.711671700002626,10.711671700002626,None,left,1,0.30173599999397993,10.711671700002626,None,,001,2019_Nov_22_1805,posner,3.2.4,59.776721985867475,
-0.5,0,1,left,0,0,0,0,11.045644300000276,12.045029499975499,12.045029499975499,12.545184699993115,12.545184699993115,None,left,1,0.2488584000384435,12.545184699993115,None,,001,2019_Nov_22_1805,posner,3.2.4,59.776721985867475,
0.5,180,1,right,0,1,1,1,12.812090100022033,13.813347099989187,13.79666549997637,14.296911699988414,14.296911699988414,None,right,1,0.2289765999885276,14.296911699988414,None,,001,2019_Nov_22_1805,posner,3.2.4,59.776721985867475,
-0.5,0,1,left,0,0,0,0,14.551497699983884,15.562554200005252,15.54656960000284,16.046650199976284,16.046650199976284,None,left,1,0.24647040001582354,16.046650199976284,None,,001,2019_Nov_22_1805,posner,3.2.4,59.776721985867475,
0.5,180,1,right,0,1,1,1,16.313446199987084,17.31329389999155,17.296862000017427,17.79670950002037,17.79670950002037,None,right,1,0.21225489996140823,17.79670950002037,None,,001,2019_Nov_22_1805,posner,3.2.4,59.776721985867475,
0.5,180,1,right,0,0,0,1,18.03473870002199,19.04668849997688,19.013234800018836,19.513484600000083,19.513484600000083,None,right,1,0.25461669999640435,19.513484600000083,None,,001,2019_Nov_22_1805,posner,3.2.4,59.776721985867475,
-0.5,0,1,left,0,1,1,0,19.79701609996846,20.796797499991953,20.780080700002145,21.279440100013744,21.279440100013744,None,left,1,0.21638450003229082,21.279440100013744,None,,001,2019_Nov_22_1805,posner,3.2.4,59.776721985867475,
-0.5,0,1,left,0,0,0,0,21.517794999992475,22.53003899997566,22.51375929999631,23.013346099993214,23.013346099993214,None,left,1,0.14785740000661463,23.013346099993214,None,,001,2019_Nov_22_1805,posner,3.2.4,59.776721985867475,
0.5,180,1,right,0,1,1,1,23.18003679998219,24.179944499977864,24.16351719998056,24.663485799974296,24.663485799974296,None,right,1,0.28121159999864176,24.663485799974296,None,,001,2019_Nov_22_1805,posner,3.2.4,59.776721985867475,
